model,symbol
GRIP,INTC
GRIP,RKLB
GRIP,PLTR
GRIP,PANW
GRIP,STLD
GRIP,SLB
GRIP,EXC
GRIP,NVDA
GRIP,AAPL
GRIP,GOOGL
GRIP,MSFT
GRIP,AMZN
GRIP,AVGO
GRIP,TSLA
GRIP,META
GRIP,MU
GRIP,AMD
GRIP,CSCO
GRIP,LLY
GRIP,NFLX
GRIP,V
GRIP,COST
GRIP,WMT
GRIP,LRCX
GRIP,HD
GRIP,AMAT
GRIP,ABBV
GRIP,LIN
GRIP,BIL
EDIP,HD
EDIP,TJX
EDIP,MCD
EDIP,KO
EDIP,ADM
EDIP,WMT
EDIP,CVX
EDIP,MPC
EDIP,JPM
EDIP,CME
EDIP,AXP
EDIP,V
EDIP,GS
EDIP,AMGN
EDIP,MRK
EDIP,CAT
EDIP,FDX
EDIP,NSC
EDIP,RTX
EDIP,AAPL
EDIP,IBM
EDIP,MSFT
EDIP,BIL
EDIP,FCX
EDIP,AEM
EDIP,VZ
EDIP,DUK
ALL SYMBOLS,AAPL
ALL SYMBOLS,ABBV
ALL SYMBOLS,ADM
ALL SYMBOLS,AEM
ALL SYMBOLS,AMAT
ALL SYMBOLS,AMD
ALL SYMBOLS,AMGN
ALL SYMBOLS,AMZN
ALL SYMBOLS,AVGO
ALL SYMBOLS,AXP
ALL SYMBOLS,BIL
ALL SYMBOLS,CAT
ALL SYMBOLS,CME
ALL SYMBOLS,COST
ALL SYMBOLS,CSCO
ALL SYMBOLS,CVX
ALL SYMBOLS,DUK
ALL SYMBOLS,EXC
ALL SYMBOLS,FCX
ALL SYMBOLS,FDX
ALL SYMBOLS,GOOGL
ALL SYMBOLS,GS
ALL SYMBOLS,HD
ALL SYMBOLS,IBM
ALL SYMBOLS,INTC
ALL SYMBOLS,JPM
ALL SYMBOLS,KO
ALL SYMBOLS,LIN
ALL SYMBOLS,LLY
ALL SYMBOLS,LRCX
ALL SYMBOLS,MCD
ALL SYMBOLS,META
ALL SYMBOLS,MPC
ALL SYMBOLS,MRK
ALL SYMBOLS,MSFT
ALL SYMBOLS,MU
ALL SYMBOLS,NFLX
ALL SYMBOLS,NSC
ALL SYMBOLS,NVDA
ALL SYMBOLS,PANW
ALL SYMBOLS,PLTR
ALL SYMBOLS,RKLB
ALL SYMBOLS,RTX
ALL SYMBOLS,SLB
ALL SYMBOLS,STLD
ALL SYMBOLS,TJX
ALL SYMBOLS,TSLA
ALL SYMBOLS,V
ALL SYMBOLS,VZ
ALL SYMBOLS,WMT
